Pesticide,CoverCrop,Yield,Discolored
Yes,Yes ,2.3,Yes
Yes,Yes ,2.5,No
Yes,Yes ,2,Yes
Yes,Yes ,1.2,No
Yes,Yes ,2.5,No
Yes,Yes ,2.5,No
Yes,Yes ,1,No
Yes,Yes ,2.3,No
Yes,Yes ,1.9,No
Yes,Yes ,2.2,Yes
Yes,Yes ,1.2,Yes
Yes,Yes ,1.5,Yes
Yes,Yes ,1.6,No
Yes,Yes ,2.4,No
Yes,Yes ,2.4,Yes
Yes,Yes ,1,No
Yes,Yes ,1.1,No
Yes,Yes ,1,Yes
Yes,Yes ,2.2,No
Yes,Yes ,1.1,Yes
Yes,Yes ,1.8,No
Yes,No,1.2,Yes
Yes,No,0.8,Yes
Yes,No,1.3,Yes
Yes,No,1.3,Yes
Yes,No,1.5,Yes
Yes,No,0.7,Yes
Yes,No,1.6,Yes
Yes,No,0.8,Yes
Yes,No,1.5,Yes
Yes,No,1.4,Yes
Yes,No,1.4,Yes
Yes,No,1.4,Yes
Yes,No,1.1,No
Yes,No,1.5,Yes
Yes,No,1,Yes
Yes,No,0.8,Yes
Yes,No,1.3,No
Yes,No,1,Yes
Yes,No,0.8,No
Yes,No,1.3,Yes
No ,Yes ,1.2,No
No ,Yes ,1.2,No
No ,Yes ,1.4,No
No ,Yes ,1.3,No
No ,Yes ,2,No
No ,Yes ,1.7,No
No ,Yes ,1.4,No
No ,Yes ,1.7,No
No ,Yes ,1.8,No
No ,Yes ,1.8,No
No ,Yes ,1.2,No
No ,Yes ,1.5,No
No ,Yes ,1.3,Yes
No ,Yes ,1,No
No ,Yes ,1.9,No
No ,Yes ,1.3,Yes
No ,Yes ,1.2,No
No ,Yes ,2,No
No ,Yes ,1.2,Yes
No ,Yes ,1.8,No
No ,Yes ,1.4,No
No ,Yes ,1.3,No
No ,Yes ,1.2,No
No ,No,1,Yes
No ,No,1.6,Yes
No ,No,1.3,No
No ,No,1.4,No
No ,No,1.6,Yes
No ,No,1.7,No
No ,No,1.5,Yes
No ,No,1.4,Yes
No ,No,1.3,Yes
No ,No,1.9,Yes
No ,No,1.3,No
No ,No,1.5,No
No ,No,1.1,No
No ,No,1.1,Yes
No ,No,1.5,Yes
No ,No,1.3,Yes
No ,No,1.7,No
No ,No,1.9,Yes
