ID,Treatment,Period,Spore
1,Test,Pre-Treatment,Full
1,Test,Mid-Treatment,Some
1,Test,Post-Treatment,Some
2,Test,Pre-Treatment,Full
2,Test,Mid-Treatment,None
2,Test,Post-Treatment,None
3,Test,Pre-Treatment,Full
3,Test,Mid-Treatment,Some
3,Test,Post-Treatment,Some
4,Test,Pre-Treatment,Full
4,Test,Mid-Treatment,Some
4,Test,Post-Treatment,
5,Test,Pre-Treatment,Full
5,Test,Mid-Treatment,None
5,Test,Post-Treatment,None
1,Placebo,Pre-Treatment,Full
1,Placebo,Mid-Treatment,Full
1,Placebo,Post-Treatment,Full
2,Placebo,Pre-Treatment,Full
2,Placebo,Mid-Treatment,Some
2,Placebo,Post-Treatment,Some
3,Placebo,Pre-Treatment,Full
3,Placebo,Mid-Treatment,Some
3,Placebo,Post-Treatment,Some
4,Placebo,Pre-Treatment,Full
4,Placebo,Mid-Treatment,Some
4,Placebo,Post-Treatment,Some
5,Placebo,Pre-Treatment,Some
5,Placebo,Mid-Treatment,
5,Placebo,Post-Treatment,
6,Test,Pre-Treatment,Full
6,Test,Mid-Treatment,Some
6,Test,Post-Treatment,Some
7,Test,Pre-Treatment,Full
7,Test,Mid-Treatment,None
7,Test,Post-Treatment,None
8,Test,Pre-Treatment,Full
8,Test,Mid-Treatment,Some
8,Test,Post-Treatment,Some
9,Test,Pre-Treatment,Full
9,Test,Mid-Treatment,Some
9,Test,Post-Treatment,None
10,Test,Pre-Treatment,Full
10,Test,Mid-Treatment,Some
10,Test,Post-Treatment,Some
6,Placebo,Pre-Treatment,Full
6,Placebo,Mid-Treatment,Full
6,Placebo,Post-Treatment,Full
7,Placebo,Pre-Treatment,Full
7,Placebo,Mid-Treatment,Full
7,Placebo,Post-Treatment,Full
8,Placebo,Pre-Treatment,Full
8,Placebo,Mid-Treatment,Full
8,Placebo,Post-Treatment,Full
9,Placebo,Pre-Treatment,Full
9,Placebo,Mid-Treatment,Some
9,Placebo,Post-Treatment,Some
10,Placebo,Pre-Treatment,Full
10,Placebo,Mid-Treatment,Some
10,Placebo,Post-Treatment,Some
11,Test,Pre-Treatment,Full
11,Test,Mid-Treatment,Some
11,Test,Post-Treatment,None
12,Test,Pre-Treatment,Full
12,Test,Mid-Treatment,Some
12,Test,Post-Treatment,None
13,Test,Pre-Treatment,Full
13,Test,Mid-Treatment,Some
13,Test,Post-Treatment,Some
14,Test,Pre-Treatment,Full
14,Test,Mid-Treatment,None
14,Test,Post-Treatment,None
15,Test,Pre-Treatment,Full
15,Test,Mid-Treatment,None
15,Test,Post-Treatment,None
11,Placebo,Pre-Treatment,Full
11,Placebo,Mid-Treatment,Some
11,Placebo,Post-Treatment,Some
12,Placebo,Pre-Treatment,Full
12,Placebo,Mid-Treatment,Some
12,Placebo,Post-Treatment,Some
13,Placebo,Pre-Treatment,Full
13,Placebo,Mid-Treatment,Some
13,Placebo,Post-Treatment,Some
14,Placebo,Pre-Treatment,Full
14,Placebo,Mid-Treatment,Full
14,Placebo,Post-Treatment,Full
15,Placebo,Pre-Treatment,Full
15,Placebo,Mid-Treatment,Full
15,Placebo,Post-Treatment,Full
