Subject,Time,Response
1,before,no
1,after,no
2,before,no
2,after,no
3,before,no
3,after,no
4,before,no
4,after,no
5,before,no
5,after,no
6,before,no
6,after,no
7,before,no
7,after,no
8,before,no
8,after,no
9,before,no
9,after,no
10,before,no
10,after,no
11,before,no
11,after,no
12,before,no
12,after,no
13,before,no
13,after,no
14,before,no
14,after,no
15,before,no
15,after,no
16,before,no
16,after,no
17,before,no
17,after,no
18,before,no
18,after,no
19,before,no
19,after,no
20,before,no
20,after,no
21,before,no
21,after,no
22,before,no
22,after,no
23,before,no
23,after,no
24,before,no
24,after,no
25,before,no
25,after,no
26,before,no
26,after,no
27,before,no
27,after,no
28,before,no
28,after,no
29,before,no
29,after,no
30,before,no
30,after,no
31,before,no
31,after,no
32,before,no
32,after,no
33,before,no
33,after,no
34,before,no
34,after,no
35,before,no
35,after,no
36,before,no
36,after,no
37,before,no
37,after,no
38,before,no
38,after,no
39,before,no
39,after,no
40,before,no
40,after,no
41,before,no
41,after,no
42,before,no
42,after,no
43,before,no
43,after,no
44,before,no
44,after,no
45,before,no
45,after,no
46,before,no
46,after,no
47,before,no
47,after,no
48,before,no
48,after,no
49,before,no
49,after,yes
50,before,no
50,after,yes
51,before,no
51,after,yes
52,before,no
52,after,yes
53,before,no
53,after,yes
54,before,no
54,after,yes
55,before,no
55,after,yes
56,before,no
56,after,yes
57,before,no
57,after,yes
58,before,no
58,after,yes
59,before,no
59,after,yes
60,before,no
60,after,yes
61,before,no
61,after,yes
62,before,no
62,after,yes
63,before,no
63,after,yes
64,before,yes
64,after,no
65,before,yes
65,after,no
66,before,yes
66,after,no
67,before,yes
67,after,no
68,before,yes
68,after,no
69,before,yes
69,after,yes
70,before,yes
70,after,yes
71,before,yes
71,after,yes
72,before,yes
72,after,yes
73,before,yes
73,after,yes
74,before,yes
74,after,yes
75,before,yes
75,after,yes
76,before,yes
76,after,yes
77,before,yes
77,after,yes
78,before,yes
78,after,yes
79,before,yes
79,after,yes
80,before,yes
80,after,yes
81,before,yes
81,after,yes
82,before,yes
82,after,yes
83,before,yes
83,after,yes
84,before,yes
84,after,yes
85,before,yes
85,after,yes
86,before,yes
86,after,yes
87,before,yes
87,after,yes
